21048
(0, 590791.0217683403, 4647531.923099307)
(1, 590957.5873350857, 4647557.376169702)
(2, 591382.8883654686, 4649040.792496753)
(3, 591963.8853601817, 4650154.021982976)
(4, 592190.4309562212, 4651345.975189092)
(5, 589894.3120861696, 4647049.441415191)
(6, 590301.3211658519, 4647457.491498318)
(7, 589801.2715794463, 4646955.871609829)
(8, 590879.9772375186, 4646855.664645921)
(9, 537056.6158877914, 4638241.526247862)
(10, 537905.7358085883, 4639116.809547058)
(11, 537572.4369500536, 4640518.690300793)
(12, 539786.5353741072, 4639561.985721253)
(13, 541140.290853076, 4639535.043485727)
(14, 543782.3019183759, 4640037.020048906)
(15, 544463.5752213325, 4640469.496422632)
(16, 545205.7718225344, 4641467.359181423)
(17, 546372.4369768807, 4643973.889856433)
(18, 546368.6023892382, 4645043.780850825)
(19, 546002.2488633607, 4646545.012137803)
(20, 546192.4873320839, 4647425.078491653)
(21, 546950.9457640329, 4648195.079504491)
(22, 547659.5496989441, 4648273.086535061)
(23, 548642.383699666, 4648091.220310917)
(24, 549520.256301059, 4648640.3632998075)
(25, 550486.2281361725, 4648686.478360998)
(26, 551021.6035746341, 4649032.185731627)
(27, 551645.0134999838, 4648212.038812961)
(28, 551997.297804496, 4648263.689398439)
(29, 553620.2604220494, 4650116.632164626)
(30, 554226.3030250538, 4651183.524585978)
(31, 554633.9148269104, 4651899.953017093)
(32, 532774.9367123194, 4651284.82771929)
(33, 532618.2511544619, 4650875.841393523)
(34, 533485.8838459993, 4646951.038460762)
(35, 533731.3657162087, 4645837.782105875)
(36, 536451.2728196344, 4640154.893625313)
(37, 537152.5104162742, 4637940.024040396)
(38, 536931.1263501184, 4636445.85162212)
(39, 535849.5583054066, 4633486.942483765)
(40, 651496.6143328339, 4651569.681004101)
(41, 652758.1949665935, 4650639.967311262)
(42, 654526.3645416937, 4648476.8583286945)
(43, 656006.5525842506, 4647082.318208118)
(44, 657988.1382251941, 4646157.885715561)
(45, 658141.630177546, 4646027.772655583)
(46, 659621.2031198952, 4644774.779769477)
(47, 660760.9254997588, 4643151.107482554)
(48, 661353.9152058645, 4642736.064186159)
(49, 662947.7733289187, 4642572.786742628)
(50, 663748.8003960348, 4642784.9390851045)
(51, 666051.7671089142, 4642699.381334763)
(52, 666608.2422035397, 4642077.489780209)
(53, 667863.7909534455, 4639927.420062646)
(54, 668951.0988560108, 4639263.687207211)
(55, 669092.455807243, 4639177.166914372)
(56, 669534.1933103356, 4638368.444095984)
(57, 669762.9551109581, 4637009.287163068)
(58, 670928.6837015734, 4635030.85177292)
(59, 415879.4090054851, 4633733.050809121)
(60, 417251.01735795307, 4633810.160462401)
(61, 419855.2787147455, 4633444.944921266)
(62, 422079.280768127, 4632694.7471549325)
(63, 423117.38812445244, 4632797.849474893)
(64, 424095.3907579209, 4633380.76857132)
(65, 424998.7624087926, 4634594.5329244565)
(66, 426751.0317381813, 4635388.33647766)
(67, 428518.8633788902, 4635622.770445578)
(68, 428709.43446671095, 4635748.333280694)
(69, 429126.90826645, 4636024.651172201)
(70, 430136.2870300159, 4637196.017576219)
(71, 431230.60237116896, 4637558.119301178)
(72, 436291.43464599765, 4640509.916751725)
(73, 436519.477400726, 4642233.952083035)
(74, 438160.1644596373, 4644961.219383211)
(75, 438221.0487291265, 4645061.955635614)
(76, 438361.98128004884, 4647594.94186029)
(77, 439748.3738380861, 4648513.640646928)
(78, 440595.1483315737, 4649468.860797115)
(79, 440832.4788426953, 4650047.158654961)
(80, 440673.2071847493, 4650492.417706212)
(81, 534730.1775113773, 4632766.929685704)
(82, 534284.1637959422, 4632273.468955235)
(83, 515820.70364952553, 4636216.889863446)
(84, 516199.6440416955, 4636332.099683507)
(85, 517748.06561149, 4636090.531028792)
(86, 519530.3256938338, 4635102.05603955)
(87, 521078.74273418344, 4635216.941286261)
(88, 522501.36196474935, 4635628.763785545)
(89, 523323.37030842784, 4635562.348605826)
(90, 523929.71627988765, 4635989.596226155)
(91, 524442.6645667618, 4635951.145989849)
(92, 525972.7897023886, 4634231.076159672)
(93, 527231.5589814367, 4633432.710373743)
(94, 528188.4847850354, 4632954.0140983965)
(95, 529802.5380281903, 4632146.18814674)
(96, 530309.1661760644, 4632183.852437665)
(97, 531187.1636225429, 4632733.119866072)
(98, 532227.4585654131, 4632810.247808851)
(99, 686173.953637844, 4632979.959221507)
(100, 685884.9529217014, 4633606.416696494)
(101, 686803.2651051723, 4634998.645606345)
(102, 687141.8505318561, 4636297.762725067)
(103, 687050.9139760009, 4637539.832120934)
(104, 686700.6552803279, 4638839.097828272)
(105, 686668.3296010238, 4640315.045947911)
(106, 686844.6215091127, 4641729.363217245)
(107, 685982.7629719831, 4643399.236083614)
(108, 684682.0978222732, 4645112.88480394)
(109, 684485.9738311536, 4645841.125756987)
(110, 683733.2266473041, 4648636.395749722)
(111, 682282.1960211481, 4649982.409112636)
(112, 681924.6153184043, 4651714.884394722)
(113, 681628.4557265998, 4651922.622125598)
(114, 681254.2613114052, 4651818.489466633)
(115, 680687.1925221574, 4651190.68852805)
(116, 679994.1149374808, 4651241.72511673)
(117, 679595.0211588175, 4651467.265613953)
(118, 678688.7146317334, 4651298.591373562)
(119, 675675.9673093708, 4649930.5955177)
(120, 675381.1900585986, 4649725.756874393)
(121, 674608.255065469, 4649189.278277842)
(122, 674166.9371199864, 4649284.311876929)
(123, 672766.5668750013, 4650633.8493229365)
(124, 672084.7908466492, 4651577.6366294725)
(125, 672056.7011352733, 4651823.267951688)
(126, 672440.717230533, 4634250.14665356)
